result_id,randomized,type,count,inserted,insert_time,search,search_time,removed,remove_time
15,False,BST,25000,24207,9,6030,6,5228,10
15,False,BST,30000,28836,11,8616,7,7288,13
15,False,LIST,10000,9871,499,957,807,879,1295
15,False,LIST,15000,14710,1249,2131,1935,2022,3006
15,False,LIST,20000,19484,2385,3844,3424,3474,5009
15,False,LIST,25000,24194,3880,6029,5464,5392,7495
15,False,LIST,30000,28809,6505,8603,7690,7538,9945
15,True,AVL,10000,10000,1174,998,1,965,401
15,True,AVL,15000,15000,2988,2252,2,2065,1377
15,True,AVL,20000,20000,5757,3913,4,3636,3365
15,True,AVL,25000,25000,9651,6209,4,5469,6691
15,True,AVL,30000,30000,15117,8930,5,7819,11012
15,True,BST,10000,10000,3,998,1,965,3
15,True,BST,15000,15000,5,2252,3,1974,5
15,True,BST,20000,20000,8,3913,4,3528,8
15,True,BST,25000,25000,10,6209,5,5469,10
15,True,BST,30000,30000,12,8930,6,7819,12
15,True,LIST,10000,10000,835,1007,813,936,1573
15,True,LIST,15000,15000,2289,2236,2038,2111,3534
15,True,LIST,20000,20000,4562,4050,4077,3629,6627
15,True,LIST,25000,25000,7635,6265,6564,5588,9612
15,True,LIST,30000,30000,11476,9081,9032,7725,13877
16,False,AVL,10000,9872,536,1041,1,914,348
16,False,AVL,15000,14723,1395,2203,2,2006,1263
16,False,AVL,20000,19486,2715,3885,3,3520,2984
16,False,AVL,25000,24207,4468,6030,5,5340,5511
16,False,AVL,30000,28836,6675,8616,6,7478,9085
16,False,BST,10000,9872,4,1041,2,914,3
16,False,BST,15000,14723,6,2203,3,1999,6
16,False,BST,20000,19486,7,3885,4,3425,8
16,False,BST,25000,24207,9,6030,6,5228,11
16,False,BST,30000,28836,11,8616,7,7288,13
16,False,LIST,10000,9871,483,957,785,879,1222
16,False,LIST,15000,14710,1208,2131,1860,2022,2768
16,False,LIST,20000,19484,2255,3844,3292,3474,4760
16,False,LIST,25000,24194,3690,6029,5181,5392,7237
16,False,LIST,30000,28809,5473,8603,7873,7538,10943
16,True,AVL,10000,10000,1328,998,1,965,473
16,True,AVL,15000,15000,3810,2252,4,2065,1712
16,True,AVL,20000,20000,5722,3913,3,3636,3316
16,True,AVL,25000,25000,9888,6209,5,5469,6539
16,True,AVL,30000,30000,15331,8930,5,7819,12103
16,True,BST,10000,10000,3,998,1,965,3
16,True,BST,15000,15000,5,2252,2,1974,5
16,True,BST,20000,20000,8,3913,4,3528,9
16,True,BST,25000,25000,11,6209,6,5469,14
16,True,BST,30000,30000,15,8930,7,7819,16
16,True,LIST,10000,10000,827,1007,837,936,1565
16,True,LIST,15000,15000,2287,2236,2010,2111,3680
16,True,LIST,20000,20000,5144,4050,3776,3629,6337
16,True,LIST,25000,25000,7992,6265,6269,5588,9889
16,True,LIST,30000,30000,11520,9081,9439,7725,13722
17,False,AVL,10000,9872,537,1041,1,914,361
17,False,AVL,15000,14723,1362,2203,2,2006,1273
17,False,AVL,20000,19486,2633,3885,4,3520,2976
17,False,AVL,25000,24207,4473,6030,4,5340,5520
17,False,AVL,30000,28836,7025,8616,6,7478,9718
17,False,BST,10000,9872,4,1041,2,914,3
17,False,BST,15000,14723,6,2203,3,1999,7
17,False,BST,20000,19486,9,3885,5,3425,10
17,False,BST,25000,24207,9,6030,6,5228,11
17,False,BST,30000,28836,11,8616,7,7288,13
17,False,LIST,10000,9871,520,957,925,879,1315
17,False,LIST,15000,14710,1248,2131,2126,2022,2889
17,False,LIST,20000,19484,2314,3844,3470,3474,4799
17,False,LIST,25000,24194,3600,6029,5056,5392,7218
17,False,LIST,30000,28809,5651,8603,7840,7538,10484
17,True,AVL,10000,10000,1371,998,2,965,447
